,name,5.6_Peak_Area,5.6_actual-RT,5.9_Peak_Area,5.9_actual-RT,6.4_Peak_Area,6.4_actual-RT,7.6_Peak_Area,7.6_actual-RT,8.1_Peak_Area,8.1_actual-RT,8.9_Peak_Area,8.9_actual-RT,11.1_Peak_Area,11.1_actual-RT,13.8_Peak_Area,13.8_actual-RT,14.1_Peak_Area,14.1_actual-RT,16.0_Peak_Area,16.0_actual-RT,18.7_Peak_Area,18.7_actual-RT,19.5_Peak_Area,19.5_actual-RT,19.7_Peak_Area,19.7_actual-RT
F-040-86-CL_whiskey_08.D,CL_whiskey_08.D,,,,,,,13154.1,7.684,,,,,21.26235,11.12,,,12.16001,14.122,82.83215,16.022,,,,,7.84855,19.785
F-028-73-CL_3.D,CL_3.D,2.92222,5.611,,,,,,,131771.0,8.188,191.92209,8.905,,,32.29654,13.782,524.83105,14.155,1019.44977,16.076,,,,,4.8413,19.818
F-011-72-CL_2.D,CL_2.D,3.41401,5.612,,,3.35921,6.341,,,128625.0,8.174,54.6702,8.899,,,2.53259,13.809,239.24881,14.148,1063.95447,16.074,,,,,522.46674,19.794
F-060-88-CL_Lismore.D,CL_Lismore.D,,,,,2.3913,6.531,11202.5,7.683,,,,,10.87673,11.139,2.94586,13.806,20.42307,14.125,85.47709,16.03,,,37.64716,19.573,18.33855,19.782
F-054-87-CL_ROH_07.D,CL_ROH_07.D,,,,,2.50255,6.534,11590.9,7.683,,,,,6.29951,11.15,1.61096,13.819,21.64252,14.124,82.62716,16.03,,,34.0422,19.573,14.59538,19.784
F-022-73-CL_3.D,CL_3.D,3.43493,5.612,,,,,,,134016.0,8.195,194.29031,8.91,,,32.70548,13.783,533.83398,14.157,1036.07031,16.078,,,,,5.12651,19.818
F-069-89-CL_Clarlyle.D,CL_Clarlyle.D,,,,,1.66328,6.497,12208.0,7.689,,,,,16.32406,11.137,2.68988,13.81,12.89056,14.132,120.01678,16.03,,,11.25522,19.585,5.92289,19.795
F-038-86-CL_whiskey_08.D,CL_whiskey_08.D,,,,,,,12966.6,7.686,,,,,20.93898,11.12,,,12.02438,14.121,81.55134,16.021,,,,,7.58464,19.784
F-049-87-CL_ROH_07.D,CL_ROH_07.D,,,,,2.49017,6.541,12078.2,7.682,,,,,6.4707,11.154,1.68062,13.823,22.76827,14.128,86.44685,16.034,,,35.48829,19.577,15.12232,19.787
F-039-74-CL_4.D,CL_4.D,3.8251,5.603,,,9.75671,6.331,,,123343.0,8.149,351.82498,8.879,,,137.89955,13.766,5.40413,14.172,927.3446,16.06,,,,,57.12794,19.781
F-007-71-CL_1.D,CL_1.D,2.83059,5.658,,,,,,,127740.0,8.167,22.95637,8.904,,,295.4234,13.769,49.46294,14.15,987.04437,16.069,,,,,251.31563,19.786
F-053-87-CL_ROH_07.D,CL_ROH_07.D,,,,,2.59646,6.532,11902.3,7.685,,,,,6.55641,11.151,1.65668,13.819,22.19137,14.125,85.32069,16.031,,,34.92092,19.574,14.9863,19.784
F-046-87-CL_ROH_07.D,CL_ROH_07.D,,,,,2.62041,6.531,11831.7,7.676,,,,,6.49472,11.146,1.65571,13.817,22.15408,14.121,84.51467,16.027,0.722409,18.785,34.72604,19.572,14.80091,19.782
F-016-72-CL_2.D,CL_2.D,3.54736,5.611,,,3.32182,6.466,,,130155.0,8.178,52.73133,8.902,,,2.39017,13.808,240.39226,14.149,1079.5387,16.075,,,,,531.42847,19.793
F-073-90-CL_Evan.D,CL_Evan.D,,,,,2.8473,6.514,12253.1,7.677,,,,,3.58444,11.153,7.85169,13.782,15.70869,14.117,87.46686,16.019,,,42.51168,19.562,13.7031,19.774
F-034-74-CL_4.D,CL_4.D,3.51948,5.606,,,10.19126,6.347,,,131018.0,8.187,371.31384,8.903,,,144.99701,13.775,5.87285,14.184,988.26654,16.074,,,,,62.33074,19.79
